EMPLOYEE_CODE,FIRST_NAME,FIRST_NAME_MB,LAST_NAME,LAST_NAME_MB,DATE_HIRED,TERMINATION_DATE,TERMINATION_CODE,BIRTH_DATE,GENDER_CODE,WORK_PHONE,EXTENSION,FAX,EMAIL
10047,Frank,Frank,Bretton,Bretton,2005-09-10 00:00:00.0,,150,1963-11-13 00:00:00.0,0,1 (403) 232-5986,2952,1 (403) 232-5831,FBretton@grtd123.com
10048,Georges,Georges,Saint-Germain,Saint-Germain,2007-09-05 00:00:00.0,,150,1970-11-04 00:00:00.0,0,1 (416) 493-5595,2951,1 (416) 496-9667,GSaint-Germain@grtd123.com
10049,Carole,Carole,Claudel,Claudel,2010-01-02 00:00:00.0,,150,1985-11-06 00:00:00.0,1,1 (416) 493-5595,2950,1 (416) 496-9667,CClaudel@grtd123.com
10050,Donald,Donald,Chow,Chow,2008-01-28 00:00:00.0,,150,1969-12-10 00:00:00.0,0,1 (416) 493-5595,2949,1 (416) 496-9667,DChow@grtd123.com
10051,Samantha,Samantha,Pierce,Pierce,2009-05-12 00:00:00.0,,150,1975-01-20 00:00:00.0,1,1 (416) 493-5595,2948,1 (416) 496-9667,SPierce@grtd123.com
10052,Brendon,Brendon,Pike,Pike,2009-02-24 00:00:00.0,,150,1983-05-03 00:00:00.0,0,1 (416) 493-5595,2947,1 (416) 496-9667,BPike@grtd123.com
10053,Alex,Alex,Rodriguez,Rodriguez,2006-09-08 00:00:00.0,,150,1978-01-13 00:00:00.0,0,1 (617) 268-6754,2946,1 (617) 268-3464,ARodriguez@grtd123.com
10054,Alan,Alan,Wilcox,Wilcox,2003-05-22 00:00:00.0,,150,1970-02-03 00:00:00.0,0,1 (617) 268-6754,2945,1 (617) 268-3464,AWilcox@grtd123.com
10055,Pierre,Pierre,Lavoie,Lavoie,2009-07-02 00:00:00.0,,150,1970-11-03 00:00:00.0,0,1 (617) 268-6754,2944,1 (617) 268-3464,PLavoie@grtd123.com
10056,Rhonda,Rhonda,Cummings,Cummings,2008-08-13 00:00:00.0,,150,1981-08-14 00:00:00.0,1,1 (617) 268-6754,2943,1 (617) 268-3464,RCummings@grtd123.com
10057,Samantha,Samantha,Floyd,Floyd,2006-05-02 00:00:00.0,,150,1966-04-20 00:00:00.0,1,1 (206) 292-0012,2942,1 (206) 292-3312,SFloyd@grtd123.com
10058,Ashley,Ashley,McCormick,McCormick,2007-10-05 00:00:00.0,,150,1972-02-23 00:00:00.0,0,1 (403) 232-5986,2941,1 (403) 232-5831,AMcCormick@grtd123.com
10059,Audrey,Audrey,Lastman,Lastman,2006-06-19 00:00:00.0,,150,1973-12-11 00:00:00.0,1,1 (206) 292-0012,2940,1 (206) 292-3312,ALastman@grtd123.com
10060,Bart,Bart,Scott,Scott,2007-02-12 00:00:00.0,,150,1979-04-20 00:00:00.0,0,1 (206) 292-0012,2939,1 (206) 292-3312,BScott@grtd123.com
10061,Julie,Julie,Olsen,Olsen,2006-08-15 00:00:00.0,,150,1967-08-29 00:00:00.0,1,1 (310) 281-5722,2938,1 (310) 281-9087,JOlsen@grtd123.com
10062,Ken,Ken,Chambers,Chambers,2005-08-17 00:00:00.0,,150,1979-12-12 00:00:00.0,0,1 (617) 268-6754,2937,1 (617) 268-3464,KChambers@grtd123.com
10063,Chad,Chad,Michaels,Michaels,2009-04-16 00:00:00.0,,150,1978-03-15 00:00:00.0,0,1 (310) 281-5722,2936,1 (310) 281-9087,CMichaels@grtd123.com
10064,Maureen,Maureen,Hoffman,Hoffman,2007-06-26 00:00:00.0,,150,1965-06-05 00:00:00.0,1,1 (310) 281-5722,2935,1 (310) 281-9087,MHoffman@grtd123.com
10065,Corey,Corey,Wright,Wright,2008-01-22 00:00:00.0,,150,1976-05-11 00:00:00.0,0,1 (305) 557-4810,2934,1 (305) 557-7650,CWright@grtd123.com
10066,Dale,Dale,Fowler,Fowler,2004-02-12 00:00:00.0,2012-01-02 00:00:00.0,152,1962-07-11 00:00:00.0,0,1 (305) 557-4810,2933,1 (305) 557-7650,DFowler@grtd123.com
10067,Lowell,Lowell,Johnson,Johnson,2010-03-03 00:00:00.0,,150,1958-08-02 00:00:00.0,0,1 (305) 557-4810,2932,1 (305) 557-7650,LJohnson@grtd123.com
10068,Margaret,Margaret,Lewiston,Lewiston,2010-12-22 00:00:00.0,,150,1985-11-24 00:00:00.0,1,1 (305) 557-4810,2931,1 (305) 557-7650,MLewiston@grtd123.com
10069,Eric,Eric,Carson,Carson,2006-10-27 00:00:00.0,,150,1958-07-06 00:00:00.0,0,1 (617) 268-6754,2930,1 (617) 268-3464,ECarson@grtd123.com
10070,Valerie,Valerie,Cohen,Cohen,2011-03-24 00:00:00.0,,150,1989-10-28 00:00:00.0,1,1 (617) 268-6754,2929,1 (617) 268-3464,VCohen@grtd123.com
10071,Estelle,Estelle,Johnson,Johnson,2012-02-17 00:00:00.0,,150,1953-06-24 00:00:00.0,1,1 (305) 557-4810,2928,1 (305) 557-7650,EJohnson@grtd123.com
10072,Greg,Greg,Belding,Belding,2006-04-10 00:00:00.0,,150,1961-02-06 00:00:00.0,0,1 (617) 268-6754,2927,1 (617) 268-3464,GBelding@grtd123.com
10073,Harold,Harold,Germaine,Germaine,2009-04-18 00:00:00.0,,150,1983-06-30 00:00:00.0,0,1 (310) 281-5722,2926,1 (310) 281-9087,HGermaine@grtd123.com
10074,Janice,Janice,Thomas,Thomas,2005-07-13 00:00:00.0,,150,1975-05-02 00:00:00.0,1,1 (305) 557-4810,2925,1 (305) 557-7650,JThomas@grtd123.com
10075,Julie,Julie,Béchard,Béchard,2010-01-26 00:00:00.0,,150,1966-08-26 00:00:00.0,1,+33 4 52 26 33 88,3924,+33 4 66 35 98 95,JBechard@grtd123.com
10076,Florence,Florence,Martin,Martin,2011-03-07 00:00:00.0,,150,1982-03-07 00:00:00.0,1,+(49) 89 882 3456,3923,+(49) 89 882 3455,FMartin@grtd123.com
10077,Daniel,Daniel,Turpin,Turpin,2008-06-26 00:00:00.0,,150,1974-01-11 00:00:00.0,0,+33 4 52 26 33 88,3922,+33 4 66 35 98 95,DTurpin@grtd123.com
10078,Frédéric,Frédéric,Samson,Samson,2009-01-13 00:00:00.0,,150,1971-03-29 00:00:00.0,0,+33 1 68 94 52 20,3921,+33 1 68 94 56 60,FSamson@grtd123.com
10079,Lucía,Lucía,Reyna,Reyna,2009-09-08 00:00:00.0,,150,1979-06-29 00:00:00.0,1,+(525) 549 6090,2920,+(52) 549 6088,LReyna@grtd123.com
10080,Dion,Dion,Mendez,Mendez,2010-04-16 00:00:00.0,,150,1974-12-02 00:00:00.0,0,+(525) 549 6090,2919,+(52) 549 6088,DMendez@grtd123.com
10081,Gabriela,Gabriela,Rojas,Rojas,2009-07-30 00:00:00.0,,150,1969-02-25 00:00:00.0,1,1 (305) 557-4810,2918,1 (305) 557-7650,GRojas@grtd123.com
10083,Saburo,三郎,Aoki,青木,2013-03-09 00:00:00.0,,150,1988-11-18 00:00:00.0,0,81-3-6259-6601,8916,81-3-6208-4445,SAoki@grtd123.com
10085,Akemi,明美,Yamada,山田,2007-06-19 00:00:00.0,,150,1981-04-17 00:00:00.0,1,81-3-6259-6601,8914,81-3-6208-4445,AYamada@grtd123.com
10087,Kazumi,和美,Uragome,裏込,2008-10-02 00:00:00.0,,150,1962-02-19 00:00:00.0,1,81-6-616-5656,8912,81-6-616-5657,KUragome@grtd123.com
10088,Masuzo,益三,Kakui,角井,2009-07-29 00:00:00.0,,150,1974-01-07 00:00:00.0,0,81-6-616-5656,8911,81-6-616-5657,MKakui@grtd123.com
10089,Alice,Alice,Walter,Walter,2011-02-25 00:00:00.0,,150,1972-11-01 00:00:00.0,1,+(61) 03 2982  4242,8910,+(61) 03 2982  4243,AWalter@grtd123.com
10090,Dave,Dave,Smythe,Smythe,2011-08-04 00:00:00.0,,150,1983-09-22 00:00:00.0,0,+(61) 03 2982  4242,8909,+(61) 03 2982  4243,DSmythe@grtd123.com
10091,Donald,Donald,Ward,Ward,2011-01-06 00:00:00.0,,150,1974-10-14 00:00:00.0,0,+(61) 03 2982  4242,8908,+(61) 03 2982  4243,DWard@grtd123.com
10092,Jake,Jake,Cartel,Cartel,2011-08-12 00:00:00.0,,150,1976-11-30 00:00:00.0,0,+(61) 03 2982  4242,8907,+(61) 03 2982  4243,JCartel@grtd123.com
10093,John,John,Sinden,Sinden,2012-04-25 00:00:00.0,,150,1977-03-31 00:00:00.0,0,+(61) 03 2982  4242,8906,+(61) 03 2982  4243,JSinden@grtd123.com
10094,Yolanda,Yolanda,Torres,Torres,2009-02-10 00:00:00.0,,150,1959-12-16 00:00:00.0,1,+35 94 322 3540,7905,+35 91 548 1637,YTorres@grtd123.com
10095,Tomás,Tomás,Iglesias,Iglesias,2007-12-03 00:00:00.0,,150,1981-03-19 00:00:00.0,0,+35 94 322 3540,7904,+35 91 548 1637,TIglesias@grtd123.com
10096,Bayard,Bayard,Lopes,Lopes,2010-03-05 00:00:00.0,,150,1973-10-09 00:00:00.0,0,+55 (11) 344-4444,2903,+55 (11) 333-2223,BLopes@grtd123.com
10097,Viviam,Viviam,Barros,Barros,2008-11-04 00:00:00.0,2012-01-02 00:00:00.0,154,1965-06-28 00:00:00.0,1,+55 (11) 344-4444,2902,+55 (11) 333-2223,VBarros@grtd123.com
10098,Eduardo,Eduardo,Guimarães,Guimarães,2006-02-28 00:00:00.0,,150,1973-05-10 00:00:00.0,0,+55 (11) 344-4444,2901,+55 (11) 333-2223,EGuimaraes@grtd123.com
10099,Helena,Helena,Lindholm,Lindholm,2009-01-06 00:00:00.0,,150,1983-07-11 00:00:00.0,1,+358(0)17 - 433 127,6900,+358(0)17 - 433 129,HLindholm@grtd123.com
10100,Tuomas,Tuomas,Savolainen,Savolainen,2007-04-16 00:00:00.0,,150,1976-03-25 00:00:00.0,0,+358(0)17 - 433 127,6899,+358(0)17 - 433 129,TSavolainen@grtd123.com
10101,Chang-ho,창호,Kim,김,2008-07-30 00:00:00.0,,150,1976-08-23 00:00:00.0,0,82-2-778-6587,8898,82-2-778-6586,CKim@grtd123.com
10102,Jung-ho,정호,Choi,최,2008-04-16 00:00:00.0,,150,1964-10-11 00:00:00.0,0,82-2-778-6587,8897,82-2-778-6586,JChoi@grtd123.com
10103,Kwei-Ping,奎平,Kao,高,2007-01-08 00:00:00.0,,150,1961-05-26 00:00:00.0,0,886-2-2975-1988,8896,886-2-2989-4978,KKao@grtd123.com
10104,Chin-Tsai,清采,Fang,方,2009-05-15 00:00:00.0,,150,1979-01-04 00:00:00.0,1,886-2-2975-1988,8895,886-2-2989-4978,CFang@grtd123.com
10105,Xiangyong,向勇,Wang,王,2008-06-17 00:00:00.0,,150,1977-12-04 00:00:00.0,0,86-21-6790-5612,8894,86-21-6790-5612,XWang@grtd123.com
10106,Fei,飞,Meng,孟,2008-06-03 00:00:00.0,,150,1974-03-31 00:00:00.0,1,86-21-6790-5612,8893,86-21-6790-5612,FMeng@grtd123.com
10107,Walter,Walter,Taylor,Taylor,2008-10-10 00:00:00.0,,150,1977-12-26 00:00:00.0,0,+(44) 181 2033144,3892,+(44) 181 5030282,WTaylor@grtd123.com
10108,Penelope,Penelope,Tamrine,Tamrine,2002-04-24 00:00:00.0,,150,1958-07-11 00:00:00.0,1,1 (403) 232-5986,2891,1 (403) 232-5831,PTamrine@grtd123.com
10109,Humphrey,Humphrey,Willoughby,Willoughby,2009-12-05 00:00:00.0,,150,1983-07-14 00:00:00.0,0,+(44) 181 2033144,3890,+(44) 181 5030282,HWilloughby@grtd123.com
10110,James,James,Ross-Hythe,Ross-Hythe,2007-01-05 00:00:00.0,,150,1978-03-17 00:00:00.0,0,+(44) 181 2033144,3889,+(44) 181 5030282,JRoss-Hythe@grtd123.com
10111,Polly,Polly,Linton,Linton,2007-02-27 00:00:00.0,,150,1971-07-17 00:00:00.0,1,+(44) 121 3505267,3888,+(44) 121 3583843,PLinton@grtd123.com
10112,Josef,Josef,Lopez,Lopez,2013-03-13 00:00:00.0,,150,1988-09-15 00:00:00.0,0,+(44) 121 3505267,3887,+(44) 121 3583843,JLopez@grtd123.com
10113,Keith,Keith,Reed,Reed,2012-01-16 00:00:00.0,,150,1974-09-04 00:00:00.0,0,+(44) 121 3505267,3886,+(44) 121 3583843,KReed@grtd123.com
10114,Janet,Janet,Walker,Walker,2005-02-23 00:00:00.0,,150,1971-03-28 00:00:00.0,1,+(44) 121 3505267,3885,+(44) 121 3583843,JWalker@grtd123.com
10115,Emily,Emily,Browne,Browne,2005-09-27 00:00:00.0,,150,1985-07-22 00:00:00.0,1,+(44) 121 3505267,3884,+(44) 121 3583843,EBrowne@grtd123.com
10116,Susanne,Susanne,Sommer,Sommer,2010-07-15 00:00:00.0,,150,1978-11-11 00:00:00.0,1,+(44) 181 2033144,3883,+(44) 181 5030282,SSommer@grtd123.com
10117,Frank,Frank,Jever,Jever,2011-12-06 00:00:00.0,,150,1981-04-28 00:00:00.0,0,+(41) 17 12 13 14,3882,+(41) 17 12 13 20,FJever@grtd123.com
10118,Diane,Diane,O'Reilly,O'Reilly,2011-01-06 00:00:00.0,,150,1983-04-10 00:00:00.0,1,+(41) 17 12 13 14,3881,+(41) 17 12 13 20,DO'Reilly@grtd123.com
10119,Gracy,Gracy,Gellens,Gellens,2011-01-06 00:00:00.0,,150,1962-09-17 00:00:00.0,1,+32 16 20.73.21,3880,+32 16 20.73.32,GGellens@grtd123.com
10120,Giele,Giele,Laermans,Laermans,2013-05-28 00:00:00.0,,150,1983-10-17 00:00:00.0,1,+32 16 20.73.21,3879,+32 16 20.73.32,GLaermans@grtd123.com
10121,François,François,De Crée,De Crée,2011-01-07 00:00:00.0,,150,1983-11-19 00:00:00.0,0,+32 16 20.73.21,3878,+32 16 20.73.32,FDeCree@grtd123.com
10122,Joseph,Joseph,Chouteau,Chouteau,2011-01-07 00:00:00.0,,150,1976-05-17 00:00:00.0,0,+32 16 20.73.21,3877,+32 16 20.73.32,JChouteau@grtd123.com
10123,Willi,Willi,Seefelder,Seefelder,2011-06-22 00:00:00.0,,150,1977-05-23 00:00:00.0,0,+(43) 13 79 56 32,7876,+(43) 13 79 56 33,WSeefelder@grtd123.com
10124,Sabine,Sabine,Grüner,Grüner,2009-12-02 00:00:00.0,,150,1966-07-01 00:00:00.0,1,+(43) 13 79 56 32,7875,+(43) 13 79 56 33,SGruner@grtd123.com
10125,Laura,Laura,Bauer,Bauer,2002-08-20 00:00:00.0,,150,1962-04-13 00:00:00.0,1,1 (403) 232-5986,2874,1 (403) 232-5831,LBauer@grtd123.com
10126,Dagmar,Dagmar,Samuelsen,Samuelsen,2003-12-26 00:00:00.0,,150,1971-09-16 00:00:00.0,0,1 (403) 232-5986,2873,1 (403) 232-5831,DSamuelsen@grtd123.com
10127,Cirineo,Cirineo,Sanchez,Sanchez,2011-12-12 00:00:00.0,,150,1991-08-19 00:00:00.0,0,1 (305) 557-4810,2872,1 (305) 557-7650,CSanchez@grtd123.com
10128,Gepetto,Gepetto,Perez,Perez,2009-07-29 00:00:00.0,,150,1959-05-05 00:00:00.0,0,+(525) 549 6090,2871,+(52) 549 6088,GPerez@grtd123.com
10129,Pascal,Pascal,Lanuit,Lanuit,2007-04-05 00:00:00.0,,150,1979-08-13 00:00:00.0,0,1 (403) 232-5986,2870,1 (403) 232-5831,PLanuit@grtd123.com
10130,Aron,Aron,Adelsvärd,Adelsvärd,2007-09-28 00:00:00.0,,150,1966-06-03 00:00:00.0,0,+(46) 08 753 116,6869,+(46) 08 752 592,AAdelsvard@grtd123.com
10131,Artur,Artur,Ankarcrona,Ankarcrona,2009-12-10 00:00:00.0,,150,1972-07-03 00:00:00.0,0,+(46) 08 753 116,6868,+(46) 08 752 592,AAnkarcrona@grtd123.com
10132,Christiaan,Christiaan,Cabrera,Cabrera,2008-11-11 00:00:00.0,,150,1972-03-15 00:00:00.0,0,+31 (0)20 692 93 94,6867,+31 (0)20 692 93 06,CCabrera@grtd123.com
10133,Arvid,Arvid,Ankarsvärd,Ankarsvärd,2012-11-14 00:00:00.0,,150,1973-04-14 00:00:00.0,0,+(46) 08 753 116,6866,+(46) 08 752 592,AAnkarsvard@grtd123.com
10134,Bertil,Bertil,Hammarskjöld,Hammarskjöld,2008-05-09 00:00:00.0,,150,1968-07-19 00:00:00.0,0,+(46) 08 753 116,6865,+(46) 08 752 592,BHammarskjold@grtd123.com
10135,Birger,Birger,Lagerbielke,Lagerbielke,2013-03-19 00:00:00.0,,150,1988-03-11 00:00:00.0,0,+(46) 08 753 116,6864,+(46) 08 752 592,BLagerbielke@grtd123.com
10136,Ernst,Ernst,Aaldenberg,Aaldenberg,2010-10-29 00:00:00.0,,150,1971-12-08 00:00:00.0,0,+31 (0)20 692 93 94,6863,+31 (0)20 692 93 06,EAaldenberg@grtd123.com
10137,Axel,Axel,Armfelt,Armfelt,2007-09-19 00:00:00.0,,150,1975-05-17 00:00:00.0,0,+(46) 08 753 116,6862,+(46) 08 752 592,AArmfelt@grtd123.com
10138,Eduwart,Eduwart,Adams,Adams,2009-04-17 00:00:00.0,,150,1960-12-31 00:00:00.0,0,+31 (0)20 692 93 94,6861,+31 (0)20 692 93 06,EAdams@grtd123.com
10139,Baltasar,Baltasar,Björnstjerna,Björnstjerna,2011-09-13 00:00:00.0,,150,1985-05-28 00:00:00.0,0,+(46) 08 753 116,6860,+(46) 08 752 592,BBjornstjerna@grtd123.com
10140,Geert,Geert,Aafjes,Aafjes,2008-02-13 00:00:00.0,,150,1982-04-12 00:00:00.0,0,+31 (0)20 692 93 94,6859,+31 (0)20 692 93 06,GAafjes@grtd123.com
10141,Bergren,Bergren,Gyllenstierna,Gyllenstierna,2012-04-12 00:00:00.0,,150,1974-08-08 00:00:00.0,0,+(46) 08 753 116,6858,+(46) 08 752 592,BGyllenstierna@grtd123.com
10142,Bartholomeus,Bartholomeus,Cronhielm,Cronhielm,2009-05-05 00:00:00.0,,150,1987-01-12 00:00:00.0,0,+(46) 08 753 116,6857,+(46) 08 752 592,BCronhielm@grtd123.com
10143,Basmus,Basmus,Gripenskiöld,Gripenskiöld,2013-07-02 00:00:00.0,,150,1957-06-28 00:00:00.0,0,+(46) 08 753 116,6856,+(46) 08 752 592,BGripenskiold@grtd123.com
10144,Hans,Hans,Jansens,Jansens,2007-12-25 00:00:00.0,,150,1973-08-24 00:00:00.0,0,+31 (0)20 692 93 94,6855,+31 (0)20 692 93 06,HJansens@grtd123.com
10145,Sébastien,Sébastien,Pascal,Pascal,2005-01-26 00:00:00.0,,150,1958-10-03 00:00:00.0,0,+33 1 68 94 52 20,3854,+33 1 68 94 56 60,SPascal@grtd123.com
10146,Victor,Victor,Montplaisir,Montplaisir,2013-03-05 00:00:00.0,,150,1989-03-14 00:00:00.0,0,+33 4 52 26 33 88,3853,+33 4 66 35 98 95,VMontplaisir@grtd123.com
10147,Vincent,Vincent,Mercier,Mercier,2005-05-17 00:00:00.0,,150,1969-03-18 00:00:00.0,0,+33 1 68 94 52 20,3852,+33 1 68 94 56 60,VMercier@grtd123.com
10148,Albrecht,Albrecht,Lehrer,Lehrer,2005-06-21 00:00:00.0,,150,1966-09-07 00:00:00.0,0,+(49) 89 882 3456,3851,+(49) 89 882 3455,ALehrer@grtd123.com
10149,Dietz,Dietz,Krieger,Krieger,2005-05-13 00:00:00.0,,150,1967-07-04 00:00:00.0,0,+(49) 89 882 3456,3850,+(49) 89 882 3455,DKrieger@grtd123.com
10150,Francis,Francis,Lambert,Lambert,2006-07-20 00:00:00.0,,150,1979-09-11 00:00:00.0,0,+33 1 68 94 52 20,3849,+33 1 68 94 56 60,FLambert@grtd123.com
10151,Gérard,Gérard,Blanc,Blanc,2011-11-15 00:00:00.0,,150,1985-11-06 00:00:00.0,0,+32 16 20.73.21,3848,+32 16 20.73.32,GBlanc@grtd123.com
10152,Werner,Werner,Reiter,Reiter,2011-01-06 00:00:00.0,,150,1977-03-29 00:00:00.0,0,+(41) 17 12 13 14,3847,+(41) 17 12 13 20,WReiter@grtd123.com
10153,Philippe,Philippe,Lavolier,Lavolier,2009-05-23 00:00:00.0,,150,1969-01-17 00:00:00.0,0,+33 1 68 94 52 20,3846,+33 1 68 94 56 60,PLavolier@grtd123.com
10154,Pierre,Pierre,Leblanc,Leblanc,2010-03-15 00:00:00.0,,150,1983-11-20 00:00:00.0,0,+33 4 52 26 33 88,3845,+33 4 66 35 98 95,PLeblanc@grtd123.com
10155,Marcel,Marcel,Fouche,Fouche,2011-08-05 00:00:00.0,,150,1967-01-19 00:00:00.0,0,+(41) 17 12 13 14,3844,+(41) 17 12 13 20,MFouche@grtd123.com
10156,Eberhard,Eberhard,Saltzman,Saltzman,2012-07-03 00:00:00.0,,150,1982-01-10 00:00:00.0,0,+(41) 17 12 13 14,3843,+(41) 17 12 13 20,ESaltzman@grtd123.com
10157,Fritz,Fritz,Bauman,Bauman,2012-06-12 00:00:00.0,,150,1989-06-27 00:00:00.0,0,+(41) 17 12 13 14,3842,+(41) 17 12 13 20,FBauman@grtd123.com
10158,Johann,Johann,Wagner,Wagner,2011-03-04 00:00:00.0,,150,1976-12-03 00:00:00.0,0,+(41) 17 12 13 14,3841,+(41) 17 12 13 20,JWagner@grtd123.com
10159,Isaac,Isaac,Brule,Brule,2012-03-01 00:00:00.0,,150,1976-07-25 00:00:00.0,0,+(41) 17 12 13 14,3840,+(41) 17 12 13 20,IBrule@grtd123.com
10160,Jacques,Jacques,Burel,Burel,2012-05-29 00:00:00.0,,150,1982-12-20 00:00:00.0,0,+32 16 20.73.21,3839,+32 16 20.73.32,JBurel@grtd123.com
10161,Yvette,Yvette,Lattrez,Lattrez,2013-05-14 00:00:00.0,,150,1976-07-14 00:00:00.0,1,+(41) 17 12 13 14,3838,+(41) 17 12 13 20,YLattrez@grtd123.com
10162,Jules,Jules,Dauphin,Dauphin,2008-10-14 00:00:00.0,,150,1980-07-29 00:00:00.0,0,+33 1 68 94 52 20,3837,+33 1 68 94 56 60,JDauphin@grtd123.com
